Sample	Initial Reads	Post Trimming	Post Mapping	Post Feature Counts
MPI-025	32073022	31303138	27170800	11852825
MPI-048	29036035	28286288	24968213	9201877
MPI-051	35318494	34171959	28193304	10185341
MPI-061	32144486	31338349	27858115	10031196
MPI-065	34524126	33640667	29672679	11353077
MPI-242	32406281	31351202	28182526	12440925
MPI-296	37379616	36546520	32505571	14759909
MPI-318	33902414	33192705	28682998	13304365
MPI-333	30200754	29507229	23635927	12221526
MPI-335	36224904	35493858	26293038	12012653
MPI-336	45104681	44491238	37231464	19221088
MPI-369	34761321	33858910	29531657	15366394
MPI-376	33156137	32460293	27510286	14585099
MPI-379	33254857	32202745	28131144	14467641
MPI-381	35304818	34208432	29501145	16950588
MPI-383	30374735	29642622	25996980	14005343
MPI-389	33166615	32566055	24588888	15150455
MTW-MDB-001	35160731	34225793	28078224	15993516
MTW-MDB-002	35616252	34772026	30485369	13563513
MTW-MDB-009	35874454	35083919	30908574	14107771
MTW-MDB-011	31943703	31093528	26987013	12902636
MTW-MDB-014	35711506	34953641	29866792	13053255
MTW-MDB-015	34432180	33693579	29252763	12383533
MTW-MDB-016	30910117	30022508	25077043	12186986
MTW-MDB-019	40457898	39411145	33517856	17288224
MTW-MDB-020	33959319	33318695	27268133	12367711
MTW-MDB-024	36050328	35209135	27436715	15020932
MTW-MDB-025	36141580	35370870	30624756	15931643
MTW-MDB-026	32572593	31707105	27992795	13940359
MTW-MDB-028	32030573	31148934	24480860	12061994
MTW-MDB-032	38194431	37318650	33543634	14389580
MTW-MDB-034	37980061	36849611	25949789	10469970
MTW-MDB-035	34413137	33591282	27498000	13689393
MTW-TLL-007	32392456	31626617	28559619	13556176
MTW-TLL-008	27897857	27073547	23521823	11612602
MTW-TLL-016	31232921	30281079	26362247	14888633
MTW-TLL-017	31420515	30815080	26584871	13156839
MTW-TLL-019	37365441	36502217	30093941	18029198
MTW-TLL-020	34798020	34389572	28666986	14788507
MTW-TLL-022	29780284	29087395	25026518	12394500
MTW-TLL-023	30327633	29188643	24780600	12863198
MTW-TLL-024	32803137	31905198	26160321	14822573
MTW-TLL-025	32787262	32157487	26508556	16523696
MTW-TLL-026	28663948	28073548	24473086	12838682
MTW-TLL-029	34573026	33659804	29245129	15586120
MTW-TLL-034	34955989	34163565	26553048	12937393
