PC	batch	Island	Sampling.Site	Language	Sampling.Date	Age	RNA.Extraction.Batch	Sequencing.pool	RIN	Mappi	Season	Gran	Bcell	CD4T	CD8T	NK	Mono	replicate	Variance
1	1.5488932950071e-23	0.000155437270404114	2.05462034583565e-09	1.09019310335376e-08	6.42406218175639e-10	0.649777689965835	0.0343243177286953	8.9793129337533e-15	0.00181566126680372	0.000200151388958028	0.000200151388958028	4.55073638544385e-06	0.220944691733752	0.389482360394084	4.25167165619666e-06	0.641941687029484	0.89928074115985	0.013271424378561	0.212386245564675
2	0.0464936450148182	1.0015574977906e-06	0.000731537348028793	0.00186661545499493	3.97628495303552e-06	0.0211962252822535	0.0865949168984773	0.292537667389598	0.155376583964763	0.0785871470144628	0.0785871470144628	1.54157051432896e-27	3.715570876068e-08	7.8535271826734e-15	0.00475595105059733	6.26497361680258e-05	1.64968317607586e-11	0.271577195306139	0.133306370211521
3	3.77205455682413e-06	7.90966285222884e-05	9.39305070371494e-06	4.50891078149973e-05	1.38913968667445e-06	7.03644636150618e-05	0.28271588496561	0.000356856478210336	0.0127783361489374	2.10073254832868e-05	2.10073254832868e-05	0.151183811605558	0.126946806895149	0.00521693267867343	0.0752022342603254	0.00162851642978375	0.0162354968305718	0.0810552379363713	0.0748048387751251
4	7.4982084653503e-07	6.69983814102932e-10	4.23817137283065e-11	2.57252186707955e-10	2.53789388949542e-11	0.423798367980787	0.221304503383346	0.00187674842281093	1.1237678698024e-07	0.000197017993794179	0.000197017993794179	0.00472255900468339	0.0366230724550317	0.000376896962140425	0.926028472507508	0.0727666869262893	9.06968774852463e-05	0.0665773182976006	0.0572432309199405
5	0.0157524120154838	2.80750797372357e-11	6.10659527591417e-10	5.97143248972729e-10	6.82341915222343e-10	0.992896298498099	0.039459146449207	0.404279736604538	0.0121823696123856	1.06577221935699e-05	1.06577221935699e-05	0.139747442482807	0.905483663162267	0.193120272690853	0.0761978314899396	0.595099369970353	6.79592617627647e-07	0.405012971530225	0.043909979687002
6	6.2135113470515e-08	0.0026068273477989	1.31527105606664e-05	3.18685756576357e-05	1.85301860918861e-07	0.126333510884508	0.143352043265046	2.40705214588657e-06	0.0157242435369405	0.000832079690475758	0.000832079690475758	0.0598945973003349	0.331224402716842	0.28214438692724	0.000393074791930959	0.35124353500283	0.354430443919451	0.148137768675689	0.0295668040357917
7	0.00191578215319708	0.00608153779365477	0.00474819139335772	0.00781347367562541	0.000306493159345645	0.832636949797451	0.600342450891005	0.0371841465653288	0.741054189499304	0.0597426016445922	0.0597426016445922	0.0624121825754025	0.578168304572015	0.999509896392461	0.0386417085858446	0.0147669088901631	6.16528335333357e-05	0.317351501999254	0.0239493752637466
8	0.254335393727431	0.275394432637975	0.012083032656996	0.0155142323418707	0.0201583247802067	0.511145346257402	0.212539372590359	0.789799876938944	0.00323627912920038	0.274817117240428	0.274817117240428	0.965872253252977	0.865243267285439	0.391576813978684	2.65177777270688e-05	0.117491989520205	0.0114080345028085	0.768664779550236	0.0224471214513749
9	0.901328788274542	7.93280428551157e-05	3.74608727459453e-07	1.74234033175806e-06	9.98394729311879e-09	6.88759182489211e-07	0.0756809149220552	0.0801200661548566	0.537859602493478	1.90476107747448e-05	1.90476107747448e-05	0.751719120646593	9.80421779155564e-07	8.13150178929588e-06	0.930030800197858	8.79710979954906e-11	0.0193829025028587	0.661580817554653	0.0209495588606699
10	0.00326579558842549	0.380329059170892	0.083905158346814	0.162824199482734	0.133480722036713	0.533620890227955	0.118653121547602	0.00910043476540133	0.323831665964484	0.466515692253126	0.466515692253126	0.584110752433206	0.00862718070614722	0.0275126913201985	0.588768559708444	0.0590393734374793	0.36382752979291	0.161345970425082	0.0188082689294713
