Island	W_1	W_2	W_3	W_4	W_5
MPI-025_firstBatch	West Papua	-2.24364868265803	-3.08768879291351	-0.182817283590877	1.838795015803	-1.6032799402814
MPI-048_firstBatch	West Papua	-2.13658178435593	-3.0693128695854	-0.191035496557965	1.74532436380437	-1.60197052017948
MPI-051_firstBatch	West Papua	-2.38332426695767	-3.41880436791501	0.0149817630148113	1.80235231902846	-1.56095450508459
MPI-061_firstBatch	West Papua	-2.17642652839184	-3.21009489154052	-0.138245059427468	1.74597981693415	-1.61445095735893
MPI-065_firstBatch	West Papua	-2.20434207280961	-3.12924953962161	-0.146569734654716	1.70517792453143	-1.52699691905772
MPI-242_firstBatch	West Papua	-2.09429548181512	-3.03971290332548	-0.23035638995405	1.79977219888008	-1.60880746930671
MPI-296_firstBatch	West Papua	-2.05841710440394	-2.92341696902495	-0.391980352128637	1.79674402228167	-1.61439240539688
MPI-318_firstBatch	West Papua	-2.23938196515972	-3.03373361963845	-0.240440094292525	1.92166253702639	-1.56505534639896
MPI-333_firstBatch	West Papua	-2.13304985274937	-2.82848052729962	-0.516100099943849	1.92537911054883	-1.57434915141469
MPI-335_firstBatch	West Papua	-2.17280763233449	-2.9052569118961	-0.390649316855478	1.89685080020196	-1.56541079790757
MPI-336_firstBatch	West Papua	-2.15766591153374	-2.94060400915824	-0.522769076282597	1.98551239022809	-1.45359055664273
MPI-369_firstBatch	West Papua	-2.25182142980515	-2.94098360961934	-0.294427528188258	1.97041851556534	-1.51057804107032
MPI-376_firstBatch	West Papua	-2.03699480683096	-2.723219085798	-0.593953943423985	1.91710263741606	-1.53176980844884
MPI-379_firstBatch	West Papua	-2.12226195502027	-2.93903372758978	-0.384994842858345	1.88314510283229	-1.55134265136878
MPI-381_firstBatch	West Papua	-2.17738215585534	-2.72865451010155	-1.128650634434	2.11894558047854	-1.53699688927387
MPI-383_firstBatch	West Papua	-2.07052116094613	-2.86030500548253	-0.393483630368772	1.86217204696005	-1.60569814176335
MPI-389_firstBatch	West Papua	-2.09236314686318	-2.69617376462556	-0.613495745722708	2.01782940978925	-1.53701498130017
MTW-MDB-001_firstBatch	Mentawai	-2.0531383694741	-2.75737652815524	-0.460365091966848	1.9501503295589	-1.54584721264112
MTW-MDB-002_firstBatch	Mentawai	-2.24963095089167	-3.10885329773424	-0.0854568709805224	1.87226958268425	-1.57647218081903
MTW-MDB-009_firstBatch	Mentawai	-2.05645997983441	-2.87736238431053	-0.384731459969563	1.8755292720135	-1.58376388440537
MTW-MDB-011_firstBatch	Mentawai	-2.06238458307951	-2.9235303493231	-0.434211493583705	1.89334640354385	-1.58555420341052
MTW-MDB-014_firstBatch	Mentawai	-2.03895624074638	-2.94524545445535	-0.323563969351651	1.86096147121508	-1.60022104605368
MTW-MDB-015_firstBatch	Mentawai	-2.18743339349841	-3.10868096745713	-0.204902466659518	1.87450739741164	-1.54025768835514
MTW-MDB-016_firstBatch	Mentawai	-2.28839748384934	-2.97631747153893	-0.361439778960937	1.96650752818883	-1.43426043046914
MTW-MDB-019_firstBatch	Mentawai	-2.07266893415811	-2.74870022186393	-0.464643958902793	1.8576671187969	-1.52693578007222
MTW-MDB-020_firstBatch	Mentawai	-2.18116274710864	-3.01814945651481	-0.281218557726762	1.95653718918497	-1.59124918022919
MTW-MDB-024_firstBatch	Mentawai	-2.0327397669355	-2.74589551792412	-0.588720173246346	1.95142423810333	-1.55611617276929
MTW-MDB-025_firstBatch	Mentawai	-2.14077082335789	-2.94870550692059	-0.52222719893266	2.05531353411433	-1.59233687880877
MTW-MDB-026_firstBatch	Mentawai	-2.09593426467802	-3.04129512380805	-0.507392148173559	1.97099322301804	-1.52339217794779
