"PC" "lib.size" "batch" "Island" "Sampling.Site" "Language" "Sampling.Date" "Age" "RNA.Extraction.Batch" "Sequencing.pool" "RIN" "Mappi" "Season" "Gran" "Bcell" "CD4T" "CD8T" "NK" "Mono" "ID" "replicate" "microscopy.pos" "PCR.pos" "fract.pfpx.reads" "ind" "Variance"
"1" 1 1.77470369717727e-05 0.0625083686723017 4.11227637941813e-23 1.46056719242333e-19 1.92800443223155e-18 9.8984186871368e-21 6.71285983880659e-05 0.000259695572470217 0.936506380544755 0.0558055432112538 2.17640703718379e-20 2.17640703718379e-20 0.578297475840605 0.242535045894533 0.960183692897536 0.92836156184978 0.00687314340865827 0.522003375509399 0.0291598572135542 0.337679101599168 0.0138214013059265 0.000508565849781098 0.685144718637699 0.0291598572135542 0.180564828856278
"2" 2 0.355323175212485 0.00891031031316538 3.79874234650908e-15 8.76762251220015e-12 7.60800674569527e-11 2.18572278576837e-14 0.249773983284918 0.946216900972566 0.2868555174743 0.00325225397153575 0.0668446507627993 0.0668446507627993 0.137794283718692 0.737843349040793 0.0835555333792713 0.923687939200766 0.251698077716166 0.0125331319407046 0.0361768698411684 0.481042517215035 0.0817324420006287 0.0329087448686037 0.588402599887834 0.0361768698411684 0.0957163328418957
"3" 3 0.246386120335848 0.807508114946974 0.335658858712811 0.386597654695681 0.397601921077009 0.0232907393714196 0.517137754667292 0.467451166708749 0.588612730353492 0.540805054660701 0.428326961756883 0.428326961756883 0.796148398792679 0.846189265955915 0.833719892867077 0.999729351941677 0.839059615919816 0.693824082364667 0.134251574711097 0.0195114628632067 0.617574185414332 0.7736982575968 0.248096620448206 0.134251574711097 0.0571058863279952
"4" 4 0.784221567154375 0.807886293144923 0.00124804360997502 0.0358231945353373 0.0361450772436384 0.00642951049778662 0.426629951541577 0.200928354489018 0.0558909985127721 0.63586134795749 0.00128354338847591 0.00128354338847591 0.709100562558532 0.806998065165215 0.512442110734198 0.94896510232235 0.20380893391695 0.475336776626731 0.287884124168325 0.221078013590325 0.455593872217148 0.620560887350867 0.469198352255014 0.287884124168325 0.0503323329780616
"5" 5 0.440022214573758 0.192840173666805 4.69161792999576e-05 0.00284390504147246 0.00658553891898795 0.000166007374940062 0.0459673485744596 0.468305514902112 0.615554165622902 0.0940939686906512 0.00465063998454195 0.00465063998454195 0.499518633870092 0.552045497553135 0.624321390693366 0.992233549951213 0.428238636787799 0.314547898298739 0.00118134536256525 0.263299339468503 0.0531417444393938 0.125004155922096 0.684994531293163 0.00118134536256525 0.0365369679280845
"6" 6 0.638799777962564 0.939572681027151 0.0417593572872209 0.0200137026811379 0.0284773080967124 0.0488186516028828 0.396251201383039 0.0189330181748755 0.891160089236542 0.995715119395492 0.0129989632362159 0.0129989632362159 0.912353821487026 0.796395097257278 0.750654125079394 0.966970985407739 0.353197596657755 0.793456329172806 0.00760393334620558 0.804444965974433 0.341990134947533 0.368220697932378 0.209775148906004 0.00760393334620558 0.0264780939105366
"7" 7 0.224126521743255 0.287612601821429 7.11189324570582e-08 1.61427139229315e-05 5.26861906297277e-05 1.68203967739993e-06 0.718677587654034 0.00171674004380196 0.181726615837438 0.146312844510751 0.000190236303747361 0.000190236303747361 0.386901903903976 0.906719389314673 0.222815415317823 0.925175784970407 0.107890772964567 0.124712691966397 2.86414797202752e-05 0.14586899101258 0.640425242533522 0.575572084360169 0.326172447158397 2.86414797202752e-05 0.0226233836052694
"8" 8 0.950126200621542 0.481523854742634 0.024926328546002 0.312569395086271 0.30354903524633 0.393669060885992 0.247646959381088 0.142508397716576 0.83005876165797 0.256677008670808 0.180899355189026 0.180899355189026 0.628096789361531 0.729803107945887 0.684841487171871 0.997725605376151 0.744159713564488 0.457127167918537 0.0216427603012355 0.202668431135427 0.362813239725295 0.218065319890555 0.435370372475071 0.0216427603012355 0.0189126747686312
"9" 9 0.51663421921031 0.592528172282048 0.0169579090307986 0.0529713161740923 0.0508830499714155 0.0963877501094228 0.89856535981664 0.466854615187393 0.0227307496258738 0.330952087372351 0.172133884819461 0.172133884819461 0.595698757249242 0.97303198614161 0.499177566915918 0.964235324022449 0.504323308417381 0.362736841031642 0.0011702748416176 0.479883034697928 0.411490207297059 0.306979855529057 0.61683388942695 0.0011702748416176 0.0174714041958755
"10" 10 0.793890378985068 0.454165091419061 0.024500842403845 0.0938410432479745 0.178716942164177 0.0886651077588835 0.401376497791116 0.385303635588735 0.18140586849927 0.229651086160599 0.764712763118329 0.764712763118329 0.572717783138236 0.803312484117532 0.565115679114264 0.982567981942355 0.940054891469739 0.363607563353696 0.00660618008865345 0.412399670266367 0.0543174002204853 0.134907942439797 0.177721424739186 0.00660618008865345 0.01516794536751
"11" 11 0.639970287699582 0.830244882422261 0.416161392983813 0.0297581951136643 0.0710455212985457 0.0583415401654101 0.593248250299899 0.686337586344229 0.0723993240567037 0.564290793842312 0.600075200912415 0.600075200912415 0.799721874428754 0.873178161763618 0.820523885450257 0.996749640743768 0.914322850680467 0.692729563772141 0.00547558854526556 0.370574685927193 0.235382979508263 0.0687683273806499 0.00992369538678925 0.00547558854526556 0.0137683809924926
"12" 12 0.689798614280714 0.93971909327164 0.32596901596791 0.0442896201453019 0.041695913793375 0.0829093540525995 0.826383674962059 0.315716245771903 0.000647658488344598 0.760526666572941 0.236264624619929 0.236264624619929 0.840553013838146 0.945483493891681 0.756104867150926 0.978581876325398 0.620690042200664 0.7134557737735 0.0630579991850692 0.726416599292943 0.905879450093755 0.517568009572049 0.156393192580338 0.0630579991850692 0.0123403587387384
