"PC" "lib.size" "batch" "Island" "Sampling.Site" "Language" "Sampling.Date" "Age" "RNA.Extraction.Batch" "Sequencing.pool" "RIN" "Mappi" "Season" "Gran" "Bcell" "CD4T" "CD8T" "NK" "Mono" "ID" "replicate" "microscopy.pos" "PCR.pos" "fract.pfpx.reads" "ind" "Variance"
"1" 1 0.176096058648106 0.0497553058186693 1.94457656519789e-05 0.00377541610453666 0.00541075143488038 0.00195410469070057 0.103729198695318 0.813411837014695 0.307578716286657 0.00726607049501315 0.86922529417601 0.86922529417601 3.49866178327479e-39 2.51798031151654e-06 4.50606092042919e-14 6.55333902314948e-05 9.9249343917719e-06 7.15224247598366e-08 2.9697958504403e-13 0.704313348146678 0.145844199669536 0.117472287429691 0.961312185557847 2.9697958504403e-13 0.239002871023052
"2" 2 2.3792754365458e-14 3.92124567626374e-05 2.99659692268768e-09 2.53710163883723e-15 3.39001257176455e-14 3.85953556714601e-21 0.0169847533207581 2.76036208417904e-05 0.0113946061977525 0.000584617937568627 3.84029720925529e-10 3.84029720925529e-10 0.182197508169094 0.0616936642218662 0.944853692379248 0.000467001923555933 0.537551419344525 0.000747062775864756 1.41577958790948e-11 0.195651676402312 0.352428167814735 0.440653353205898 0.832138152262446 1.41577958790948e-11 0.115517091824096
"3" 3 0.738672827067144 0.00038601532932751 5.46701083927139e-09 4.31675759565553e-09 2.09246433711373e-08 1.37017859942278e-09 0.321402972471194 0.1304929143921 0.0583859716695681 2.01348253087549e-06 0.000729242433936467 0.000729242433936467 0.00644887829797746 0.0580216162128415 0.00108952533468528 0.772430023653832 0.0481144518222519 0.000174585828484717 4.85195083083656e-12 0.230057969862511 0.00565026237276734 0.00125332645587569 0.254200874402828 4.85195083083656e-12 0.0648874647618602
"4" 4 0.864590992910853 0.00147033221896052 2.69860220909986e-06 7.95118277544186e-05 0.000105966655704665 3.83458926856827e-06 0.0112126790084776 0.0805228366238158 0.118955518107857 0.0719107113741612 0.136290235078042 0.136290235078042 0.377248425447286 0.556762857358781 0.487396547291878 0.660427160528018 0.369104435211223 6.90174914059056e-07 6.83358539586575e-14 0.752522124193177 0.0808709450899601 0.256765560034673 0.020818280891008 6.83358539586575e-14 0.0537919654074054
"5" 5 0.0260860437362356 0.000403063404241928 1.25765263936979e-08 3.64256634404807e-07 1.72693525677861e-06 7.68380118169421e-08 0.0109416824178784 0.717588138288909 0.0460957315551283 0.561427705526042 1.77363010767713e-07 1.77363010767713e-07 0.00133742748234274 0.253197721169438 0.0643497373431177 5.00219742114594e-05 0.0481622529394612 0.000488057599684799 2.03536365310878e-09 0.21762372762633 0.0365660506969519 0.00494810401813839 0.0263519718624546 2.03536365310878e-09 0.0409103445889598
"6" 6 0.492731425757459 0.0446016303769783 0.00074715785261451 0.0329280680701107 0.0649432773118487 0.000513621679391169 0.0369719238952777 0.0235712046914975 0.153153068353823 0.00117349628694804 0.00201024792968829 0.00201024792968829 0.212190621982622 0.0530159007812669 0.0129372777767246 0.685035439547616 0.448054561152936 0.104511512124819 7.14785237773015e-13 0.716121957501569 0.134091524051245 0.110571266010725 0.9343434235288 7.14785237773015e-13 0.0270817216826156
"7" 7 0.528097399514757 0.66254102860449 0.0808412392759813 0.0179470941441572 0.0225462628535348 0.0139960382610816 0.629153023333013 0.140599730575559 0.945637431935116 0.318539719272342 0.575428174305152 0.575428174305152 0.506689513501775 0.202889090704015 0.05803699512804 8.58666629598573e-07 0.113664490133466 0.00026833517262025 6.61384725473768e-12 0.356286301169262 0.327152916488591 0.178437713144988 0.877072766186318 6.61384725473768e-12 0.0248475105911136
"8" 8 0.665955873804954 0.566120095270729 0.00144277493426607 1.316863828902e-06 5.29037062854201e-06 1.74572139990138e-06 5.28211809295043e-06 0.101492021600973 0.0167925754928032 0.805700477308145 0.000338431574086284 0.000338431574086284 0.586039496998765 1.11157608088856e-07 3.06422447758341e-06 0.279898307260533 6.23879591059172e-13 0.306234702744039 4.66911646475227e-10 0.849917260882824 0.567446328520859 0.192747724240444 0.909690114834223 4.66911646475227e-10 0.0211164740149154
"9" 9 0.0471345552685359 0.00014286422598862 0.0479000611548828 0.162242916568895 0.211157596614174 0.0810566106211461 0.0496802754780159 0.181684473817598 0.00256156849464435 0.0708250002277798 0.0337077954004464 0.0337077954004464 0.697370169615611 0.451023517644248 0.623144604342191 0.430611687969486 0.625269256664569 0.0118244256726493 0.000102567349434138 0.916244426069155 0.602641145860856 0.888247427046437 0.898569337851421 0.000102567349434138 0.0189425255796284
"10" 10 0.00155982069720589 2.9233940440006e-07 0.939858831382983 0.00068462353350343 0.0017029987399177 0.00145229590069523 0.288790070557935 0.0542715993303061 2.51063707985502e-05 0.0116999574554483 0.735373638683898 0.735373638683898 0.475002169065781 0.638282120795288 0.151886501636407 0.90009196871073 0.0045650954343747 0.386846822759902 2.32936434726297e-11 0.769575639931346 0.000177005021811915 2.89777807207026e-05 0.858763354053806 2.32936434726297e-11 0.0150187926144683
"11" 11 0.549591204264026 0.000244551596100145 0.764426341667055 0.00662757280656997 0.0160299614820441 0.0184537186743364 0.242901822819435 0.205225417891778 0.0282889145959805 0.273004161505753 0.474016840853905 0.474016840853905 0.504454458952455 1.53760884615117e-07 0.252703864855559 0.608700762709695 0.359009831951978 0.146332962939667 4.1755473568734e-07 0.0831734722150086 0.0236141575927189 0.0205914178951669 0.0177760361068836 4.1755473568734e-07 0.0137280843001982
"12" 12 0.636742039501313 0.775367520582354 0.0221210436701354 0.101393736345698 0.0609937603787181 0.0301123525715229 0.0854464529864813 0.0715398270886646 0.151860717517477 0.623744383801127 0.0774923553393291 0.0774923553393291 0.650115569843566 0.834107619645389 0.00544969091376253 0.994816496685193 0.0730346410658822 0.643400881015746 7.689670242533e-06 0.0344830702338444 0.431645973417897 0.319383570820416 0.319758261566884 7.689670242533e-06 0.0134145368513641
"13" 13 0.0790639053073895 0.00133318670283257 0.535349859148202 0.54604381819945 0.665977312857077 0.221381219595918 0.205889640292581 0.343068882723527 0.198709751909384 0.0133317647483322 0.639549186348939 0.639549186348939 0.809272485701861 0.39674749511498 0.822004676974066 0.742061472957333 0.0598680725397898 0.235458008817901 1.30385537489795e-09 0.915397741857142 0.542338229900938 0.448249653305131 0.868779449866085 1.30385537489795e-09 0.0123845791335246
"14" 14 0.466451355285501 0.642404122982291 0.155003376207478 0.11801542998334 0.131032717892957 0.141760191354009 0.232525330679758 0.641347259837257 0.0128596369312648 0.825354798512725 0.405635375290506 0.405635375290506 0.705886922674551 0.0212655150869642 0.148027311323323 0.0140134560721955 0.774623793210576 0.176904526965045 1.27882172553408e-08 0.251012297920882 0.458170438281872 0.284496743559961 0.326437759914243 1.27882172553408e-08 0.0103103616972402
"15" 15 0.504364274297668 0.231252346950509 0.0970440108042865 0.221990690974091 0.154808174077805 0.344194242117227 0.463511529057147 0.209996906695859 0.142474923903341 0.795195647910417 0.395432481590805 0.395432481590805 0.918980829369913 0.00128423694279146 0.310558895724482 0.360117743039933 0.205645344015698 0.956510066769577 2.58160363663233e-07 0.817018390490897 0.275276580477013 0.0953753306051864 0.918178791165767 2.58160363663233e-07 0.00884680624275582
"16" 16 0.25542086388307 0.325099660577748 0.700961187386553 0.325307206823433 0.490576451524437 0.32680492167141 0.093180614526838 0.340818397863107 0.422758875849419 0.486463167537632 0.417154798775495 0.417154798775495 0.720804917381382 0.00298373911225066 0.579042319337521 0.215523920358122 0.341461134176766 0.160003518212417 3.36164024942002e-08 0.0688699541705993 0.589295664458223 0.679544414747206 0.0913029461736253 3.36164024942002e-08 0.00828370804389955
"17" 17 0.517189727461476 0.491266205453331 0.569726150105358 0.00420217927012984 0.0123518697374885 0.00752820379242666 0.497103899521565 0.23527997916765 0.718178574571038 0.563500551594306 0.763245825319695 0.763245825319695 0.537400171891641 0.328335082110617 0.633736842090555 0.311335780364851 0.221820871154727 0.813530379145095 9.09263216301468e-08 0.175722338061487 0.226531149101131 0.0441238289822615 0.000368085509897787 9.09263216301468e-08 0.00814600292994162
"18" 18 0.612714383210192 0.103494188081468 0.123808136114236 0.00488637240794393 0.00215542255390489 0.00597628920082955 0.456431463956616 0.206726903718197 0.0112373012451559 0.815059068253512 0.219479855695848 0.219479855695848 0.960611126219904 0.533874871475702 0.273288771564725 0.047062251798215 0.3287844367734 0.188205805880261 2.73804300043888e-05 0.426309478881337 0.0767061617702515 0.0348141251807637 0.431135237401026 2.73804300043888e-05 0.00742472631549239
"19" 19 0.766816302960653 0.0700992994741517 0.00837643520795006 0.000402913551553974 0.00151916039905733 0.00034456060614946 0.854686956997245 0.714767533914294 0.200611627910731 0.0461730472039597 0.00412843173648158 0.00412843173648158 0.88904148605634 0.828525736555894 0.525677686362567 0.010525772044228 0.826887828104335 0.772883227085148 1.88307406867952e-06 0.161070391667822 0.00433899810734683 0.00204918346489276 0.00993283359879206 1.88307406867952e-06 0.00704984215163938
"20" 20 0.109319823659371 0.227369561282639 0.776121333519997 0.00461964608991808 0.0128155692169662 0.0049286771810264 0.996908756146618 0.818082010838945 0.0416797098499335 0.181279360675184 0.479114292360025 0.479114292360025 0.667451655365273 0.80460473014589 0.812298574182584 0.0990052450826218 0.201641994550754 0.631982272904857 3.1487227457244e-07 0.919171922603548 0.0010988640083792 0.00121637951143474 0.00149168167257649 3.1487227457244e-07 0.00698942173836668
"21" 21 0.461403336263635 0.134751409635829 0.817926869816842 0.0133342414025234 0.0140979149513778 0.00460774759450282 0.331098651643088 0.271163065182891 0.000162623005657587 0.0463492060756088 0.528029279044661 0.528029279044661 0.73366782551772 0.805092598088645 0.640297188913832 0.569878405329664 0.674998140236593 0.83528070979989 2.60677009126251e-05 0.025677068326662 0.66348319134017 0.434288368030342 0.725506856212405 2.60677009126251e-05 0.00661309922059607
"22" 22 0.457957155200309 0.627464266979967 0.00175036559343574 0.00719664953367912 0.0202719393766022 0.0148129746358453 0.170401505720618 0.356674408093006 0.13236910841988 0.201993180444564 0.872889185126469 0.872889185126469 0.86428101482341 0.711699255623209 0.574764934045054 0.393337353407529 0.483628101358634 0.713592446164314 1.51951174069785e-08 0.610440118439366 0.272233514539507 0.608096745734378 0.815266671371922 1.51951174069785e-08 0.00607953995816227
"23" 23 0.192483739917366 0.0124664577996306 0.658257905195909 0.905168915344344 0.952812017476633 0.964452616206086 0.163249391514315 0.019931782736341 0.0356219390247553 0.22638280719831 0.411804822938617 0.411804822938617 0.768708463106707 0.570115620484053 0.27556671915893 0.195047987940307 0.5365698345064 0.999713821827421 5.42839074463476e-06 0.00519660905099494 0.45236637495241 0.167263380265957 0.105992897902181 5.42839074463476e-06 0.0056090020973427
"24" 24 0.502585715608143 0.66989541433915 0.89541126046646 0.652136987537539 0.754220539686637 0.149039782985123 0.755568831604614 0.082206335117856 0.91107001334705 0.0597521551199779 0.644316296120822 0.644316296120822 0.887171889005025 0.474072460727237 0.949095925005803 0.251216368736123 0.236114897556625 0.904440680206894 1.15310338136553e-05 0.463805886149094 0.648283838395458 0.773548097603442 0.680809666354624 1.15310338136553e-05 0.00523453065545737
